,year,region,geography,males,females,total
0,1880,aggregate,U.S. Total,54190.0,5068.0,59258.0
1,1880,midwest,Illinois,3134.0,202.0,3336.0
2,1880,midwest,Indiana,1541.0,94.0,1635.0
3,1880,midwest,Iowa,806.0,13.0,819.0
4,1880,midwest,Kansas,1281.0,16.0,1297.0
5,1880,midwest,Michigan,1810.0,113.0,1923.0
6,1880,midwest,Minnesota,416.0,12.0,428.0
7,1880,midwest,Missouri,1920.0,135.0,2055.0
8,1880,midwest,Nebraska,368.0,9.0,377.0
9,1880,midwest,Ohio,2306.0,262.0,2568.0
10,1880,midwest,Wisconsin,570.0,28.0,598.0
11,1880,northeast,Connecticut,671.0,61.0,732.0
12,1880,northeast,Maine,390.0,18.0,408.0
13,1880,northeast,Massachusetts,2914.0,705.0,3619.0
14,1880,northeast,New Hampshire,245.0,28.0,273.0
15,1880,northeast,New Jersey,1447.0,152.0,1599.0
16,1880,northeast,New York,7580.0,1228.0,8808.0
17,1880,northeast,Pennsylvania,4401.0,485.0,4886.0
18,1880,northeast,Rhode Island,255.0,65.0,320.0
19,1880,northeast,Vermont,250.0,11.0,261.0
20,1880,south,Alabama,1317.0,81.0,1398.0
21,1880,south,Arkansas,743.0,24.0,767.0
22,1880,south,Delaware,68.0,14.0,82.0
23,1880,south,District of Columbia,309.0,72.0,381.0
24,1880,south,Florida,259.0,16.0,275.0
25,1880,south,Georgia,1729.0,108.0,1837.0
26,1880,south,Kentucky,1336.0,87.0,1423.0
27,1880,south,Louisiana,937.0,140.0,1077.0
28,1880,south,Maryland,1089.0,173.0,1262.0
29,1880,south,Mississippi,1265.0,64.0,1329.0
30,1880,south,North Carolina,1524.0,95.0,1619.0
31,1880,south,South Carolina,602.0,40.0,642.0
32,1880,south,Tennessee,1989.0,140.0,2129.0
33,1880,south,Texas,3110.0,78.0,3188.0
34,1880,south,Virginia,1362.0,192.0,1554.0
35,1880,south,West Virginia,367.0,27.0,394.0
36,1880,west,Arizona,66.0,1.0,67.0
37,1880,west,California,2590.0,65.0,2655.0
38,1880,west,Colorado,377.0,3.0,380.0
